GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratioPercentile	EdgeCase
PCNX	-2.59	0.53	-1.95	1.87	-1.36	5.5	-1.85	1.82	-1.61	2.98	-2.93	0.3	-2.57	1.08	-1.16	5.4	37.49096603	N
PCNXL2	-0.39	26.62	0.39	75.7	0.19	62.52	0.5	83.39	2.23	98.01	0.87	89.29	1.87	97.4	-2.25	0.99	70.52517466	N
PCNXL3	-1.88	1.42	-1.42	4.12	-2.56	1.11	-1.12	5.77	-1.18	6.33	-1.78	1.42	-2.03	2.06	-1.13	5.76	25.03613587	N
PCOLCE	-0.29	33.48	-0.13	43.91	0.29	68.63	0.54	84.65	-0.34	31.36	-0.15	46.2	0.41	75.34	-0.31	32.45	48.08479884	N
PCOLCE2	0.09	65.89	0.07	58.96	0.36	72	-0.07	43.21	-0.02	52.61	0.34	76.35	0.07	55.79	0.02	59.28	63.3943628	N
PCP2	0.04	62.41	0.13	63.2	0.35	71.6	0.63	87.69	-0.28	35.31	-0.41	27.43	0.09	57.81	0.35	76.56	42.95350518	N
PCP4	0.07	64.84	0.08	59.43	0	49.53	0.29	73.48	0.08	60.11	0.06	65.58	0.16	62.02	0.1	65.33	99.72295832	Y
PCP4L1	0.48	81.52	0.32	72.94	0.44	75.26	0.29	73.48	0.39	75.71	0.55	83.59	0.4	75.14	0.1	65.33	93.24861479	Y
PCSK1	0.34	77.11	-0.42	25.73	-0.08	43.97	-0.83	9.49	0.42	76.81	0.91	89.91	-0.49	22.34	-0.5	21.31	65.48422067	N
PCSK2	-0.69	13.26	-1.11	6.72	-1.41	5.14	-0.62	14.13	-0.99	8.77	-0.62	16.23	-1.35	5.14	-0.87	9.64	6.076848952	N
PCSK4	-0.09	51.4	0.61	82.93	1.76	97.27	0.11	58.32	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	90.35172248	N
PCSK5	3.66	99.49	2.84	99.1	2.6	99.04	0.92	93.05	3.35	99.32	3.11	99.07	1.86	97.34	3.95	99.54	13.67140448	N
PCSK7	-0.95	7.41	-0.75	13.67	-0.54	20.74	-0.32	26.08	-0.77	13.46	-0.96	7.3	-0.55	19.66	-0.61	16.77	32.70296314	N
PCSK9	0.04	62.44	0.94	89.89	-0.36	28.57	0.06	54.33	-0.34	31.01	0.72	86.67	1.57	95.91	0.7	86.06	64.24957841	N
PCTP	-0.22	39.8	0.13	63	0.36	71.87	0.53	84.47	-0.04	51.87	-0.26	38.17	0.18	63.51	-0.21	40.71	70.24813298	Y
PCYOX1	0.07	65.04	-0.2	39.11	-0.26	33.2	-0.09	41.67	-0.58	19.72	-0.07	54.03	-0.31	30.57	-0.22	38.61	74.8795471	N
PCYOX1L	0.28	74.55	0.6	82.74	0.16	60.24	0.14	62.03	0.21	67.45	0.48	81.73	0.49	78.77	0.68	85.63	73.4521802	N
PCYT1A	-0.54	19.15	-0.85	11.06	-0.68	16.31	-0.42	21.53	-0.93	9.98	-0.57	18.09	-0.35	28.67	-0.39	27.64	12.41869429	N
PCYT1B	-0.18	43.45	-0.05	49.76	-0.25	33.9	0	49.5	-0.22	39.02	-0.13	49.82	0.22	66.59	-0.18	43.38	1.445434835	Y
PCYT2	-0.43	24.45	-0.45	24.19	-0.68	16.07	-0.3	27.45	-0.03	52.33	-0.49	22.26	-0.26	34.03	-0.33	31.71	16.42375331	N
PDAP1	-0.19	42.14	-0.32	31.46	-0.29	31.84	-0.01	48.28	0.22	68.16	-0.09	53.45	-0.41	25.66	-0.27	35.97	10.53962901	Y
PDC	-0.19	42.14	-0.07	48.12	-0.14	40.22	0.27	72.76	-0.26	36.72	-0.15	47.68	-0.02	49.61	-0.18	43.38	58.46181643	Y
PDCD1	-0.08	51.94	-0.31	31.93	0.03	51.59	0.19	66.37	0.51	80.13	0.15	69.59	0.01	51.24	-0.25	36.93	18.33895447	N
PDCD10	0	59.32	-0.03	51.04	0.09	55.75	0.2	67.15	0.39	75.71	0.02	62.73	-0.03	48.73	-0.02	56.24	11.17802939	Y
PDCD11	-0.77	10.96	-0.24	36.18	0.29	68.15	-0.22	31.94	2.37	98.31	-0.45	23.44	-3.18	0.55	-1.56	2.76	76.42134425	N
PDCD1LG2	0.04	62.41	0.37	75.29	0.06	53.62	0.35	76.89	0.17	65.36	0.17	70.35	0.78	87.12	0.32	75.45	89.90604674	N
PDCD2	0.15	69.36	0.31	72.23	0.24	65.32	0.19	66.09	-0.19	41.39	-0.11	51.62	0.38	74.58	0.38	77.69	80.87207902	N
PDCD2L	-0.29	34.06	-0.23	37.11	0.16	60.17	0.16	63.19	-0.18	42.09	-0.34	31.62	-0.31	30.41	-0.21	40.71	83.39556733	Y
PDCD4	-0.15	45.05	-0.16	42.06	-0.76	14.17	-0.16	36.54	0.21	67.45	0.48	81.73	-0.24	35	-0.25	36.93	68.33895447	N
PDCD5	-0.08	52.75	0.08	59.76	0.03	51.87	0.1	58.27	-0.09	48.54	-0.05	57.34	-0.02	49.61	0.21	71.22	48.44013491	Y
PDCD6	-0.22	39.8	-0.36	28.63	-0.08	44.38	-0.05	45.37	-0.32	32.45	-0.19	43.65	-0.41	25.66	-0.27	35.97	25.34931342	Y
PDCD6IP	0.51	82.28	-0.31	32.23	-0.77	13.87	-0.54	16.65	0.2	66.66	1.59	95.56	0.15	61.48	0.6	83.85	46.98867743	N
PDCL	-0.32	32.09	-0.27	34.32	0.07	54.81	0.12	60.24	-0.56	20.63	-0.34	31.62	-0.3	31.21	-0.36	29.59	51.48759335	N
PDCL2	-0.13	47.18	0.01	54.95	0.02	50.77	0.05	53.89	-0.26	36.72	-0.15	47.68	0.41	75.68	0.33	75.84	51.92724645	Y
PDCL3	-0.29	34.06	0.02	55.22	0.45	75.8	0.16	63.19	0.78	87.06	-0.21	41.76	-0.49	22.27	-0.48	22.63	34.27487352	Y
PDDC1	-0.54	19.15	-0.6	17.91	-0.09	43.42	-0.42	21.53	-0.79	13.03	-0.49	22.26	-0.43	24.51	-0.22	39.22	42.26090099	N
PDE10A	-0.78	10.9	-0.98	8.8	-0.93	10.75	-0.41	21.7	-0.61	18.5	-0.62	16.23	-0.95	10.01	-0.93	8.57	4.571187666	N
PDE11A	0.1	66.4	0.76	86.86	0.39	73.15	0.42	79.92	1.9	97.12	1.23	93.35	-0.48	22.37	-0.9	9.15	37.84027945	N
PDE12	-0.17	43.88	-0.18	40.36	-0.07	44.98	-0.18	35.31	0.18	65.71	0.46	80.95	-0.29	31.79	-0.12	47.02	89.74945796	N
PDE1A	-0.61	16.18	-0.73	14.02	-0.3	31.58	-0.23	31.93	-0.38	29.05	-0.47	23.43	-1.11	7.52	-0.72	13.42	55.63719586	N
PDE1B	-0.56	17.89	-0.16	42.06	-0.61	18.19	0.13	60.5	-0.07	49.76	-0.51	21.17	-0.91	10.63	-0.75	12.68	41.97181402	N
PDE1C	-0.65	14.32	0.05	57.52	1.03	91.26	0.41	79.39	0.09	60.27	0.7	86.3	0.01	51.3	-0.65	15.54	42.47169357	N
PDE2A	-0.57	17.51	-1.09	7.15	-1.49	4.54	-0.37	23.36	-1.22	5.95	-0.47	22.65	-0.75	13.94	-0.58	17.81	5.757648759	N
PDE3A	-1.34	3.49	-1.1	6.89	-1.04	8.86	-0.78	10.5	-1.03	8.21	-1.36	3.13	-0.68	15.7	-1.24	4.76	68.75451698	N
PDE3B	-1.18	4.68	0.07	59.16	0.27	67.23	-0.34	25.16	-0.25	36.85	-1.1	5.36	-0.53	20.56	-1.3	4.18	75.87328355	N
PDE4A	-0.78	10.7	-1.11	6.86	-1.08	8.42	-0.61	14.35	-1.48	3.61	-0.64	15.03	-0.16	39.9	-0.29	33.93	23.22934233	N
PDE4B	-0.5	20.75	-0.69	15.27	-0.71	15.5	-0.27	28.9	-1.18	6.3	-0.45	23.73	-0.38	27.1	0.43	79.24	21.01903156	N
PDE4C	0.26	73.75	0.42	77.26	-0.33	29.85	0.51	83.46	-0.5	22.59	-0.26	36.81	-0.1	43.54	1.13	92.32	73.55456517	N
PDE4D	-0.85	9.32	-1.38	4.39	-0.69	15.89	-0.8	10.11	-0.85	11.7	-0.77	11.38	-0.96	9.8	-0.78	11.79	13.32811371	N
PDE4DIP	8.26	99.9	7.99	99.95	7.3	99.92	13.18	99.96	6.52	99.87	2.77	98.81	5.58	99.88	9.09	99.93	70.26017827	N
PDE5A	-0.21	39.88	1.05	91.34	0.68	84.02	0.14	60.69	0.64	83.54	0.04	62.98	0.05	54.41	0.69	85.9	52.80052999	N
PDE6A	-0.46	22.95	-0.19	39.31	1.44	95.55	-0.04	45.78	-0.8	12.58	-1.17	4.6	-0.2	36.85	0.05	61.8	86.25030113	N
PDE6B	-1.42	3.03	-0.54	20.05	-0.53	20.92	-2.12	1.29	-2	1.69	-1.44	2.58	-0.78	13.08	-0.8	11.24	82.74512166	N
PDE6C	-0.36	29.28	0.12	62.17	-0.46	23.9	-0.01	47.51	-0.21	39.18	-0.55	18.37	-0.43	24.59	-0.23	38.36	40.50228861	N
PDE6D	0.01	60.6	0.48	78.95	0.28	67.33	0.22	68.47	-0.06	51	-0.02	59.11	0.55	80.99	0.04	61.25	6.763430499	Y
PDE6G	-0.02	58.07	0.19	66.57	0.34	70.88	0.47	82.41	-0.06	51	-0.02	59.11	0.5	79.25	0.01	58.77	23.22331968	Y
PDE6H	0.08	65.66	0.1	60.96	0.19	62.02	0.3	74.46	0.11	62.04	0.08	66.94	0.11	58.99	0.07	63.34	#N/A	N
PDE7A	0.43	80.24	-0.16	41.91	-0.27	32.83	0.02	51.26	0.07	59.28	0.1	67.67	-0.11	43.42	0.38	77.69	50.0662491	N
PDE7B	-0.08	51.94	-0.29	33.2	-0.55	20.08	-0.37	23.93	-0.66	16.92	-0.41	27.43	-0.39	26.72	0.2	70.58	13.2739099	N
PDE8A	-0.34	30.45	-0.2	39.11	-0.41	26.07	-0.67	12.73	-0.03	52.33	0.04	63.43	-0.74	14.05	-1.12	6.01	49.70489039	N
PDE8B	-0.34	30.45	-0.69	15.2	-1.28	6.16	-0.67	12.73	-0.75	14.17	-0.17	44.12	-1.04	8.58	-0.61	16.77	9.178511202	N
PDE9A	-0.26	36.51	-0.46	23.63	0.55	80.07	-0.47	19.01	-1.25	5.58	-0.49	21.48	-0.05	46.93	-0.38	27.9	57.27535534	N
PDGFA	-0.25	37.63	-0.16	41.64	0.13	58.55	0.21	67.55	-0.11	46.94	-0.3	34.73	-0.12	42.85	-0.24	38.27	55.51674295	Y
PDGFB	-0.45	23.72	0	53.73	0.44	75.44	-0.04	45.77	0.07	59.28	-0.43	25.96	0.29	70.07	-0.45	24.32	34.15442062	N
PDGFC	-0.28	35.17	0.04	56.92	-0.39	27.08	-0.11	39.74	0.3	72	-0.28	36.38	-0.16	39.78	-0.27	35.97	23.58467839	Y
PDGFD	-0.08	51.94	-0.54	20.54	-0.26	33.14	-0.37	23.93	-0.35	30.95	0.08	66.58	-0.49	22.27	-0.09	49.52	78.47506625	N
PDGFRA	-0.27	35.21	-0.64	16.76	-0.51	21.73	-0.98	7.37	-0.93	9.77	-0.24	38.28	-0.83	12	-1.19	5.13	22.78968923	N
PDGFRB	-0.96	7.17	-0.72	14.3	-1.57	3.94	-2.07	1.39	-0.1	46.96	-0.91	7.66	-2.3	1.47	-1.6	2.58	42.98964105	N
PDGFRL	-0.3	33.24	0.18	66.24	0.14	59.22	0.32	75.51	-0.9	10.32	-1.04	6.13	0.3	70.15	-0.47	22.92	82.37171766	N
PDHA1	-0.19	42.14	0.17	65.56	-0.14	40.22	-0.01	48.28	-0.16	43.78	-0.09	53.45	0.28	69.61	-0.3	33.66	52.81257528	Y
PDHA2	-0.31	32.42	0.33	73.61	0.69	84.35	0.81	91.37	-0.2	40.2	-0.07	54.03	0.37	73.75	-0.49	21.68	75.83112503	N
PDHB	-0.25	37.63	-0.41	26.23	-0.31	30.96	-0.08	42.56	-0.56	20.63	-0.34	31.62	-0.31	30.41	-0.21	40.71	12.29221874	Y
PDHX	0.3	75.46	0.25	69.57	0.38	72.72	0.56	85.33	-0.15	43.9	0.55	83.24	0.43	76.28	0.55	82.5	76.62009154	N
PDIA2	1.26	93.49	2.7	98.9	3.23	99.45	0.71	89.31	3.76	99.5	3.13	99.08	1.73	96.82	1.26	93.42	82.79330282	N
PDIA3	-0.48	22.15	-0.51	21.41	-0.66	16.68	-0.06	44.44	-0.86	11.45	-0.53	20.14	-0.35	28.67	-0.39	27.64	58.58829198	N
PDIA4	-0.97	7.02	-0.19	39.25	-0.15	39.98	-0.83	9.65	-0.04	51.98	-0.68	13.38	-0.51	21.17	-0.83	10.44	71.40448085	N
PDIA5	-0.51	19.96	-0.95	9.21	-0.6	18.55	-0.87	8.99	-1.36	4.5	-0.85	9.21	-0.75	13.94	-0.19	41.14	52.55360154	N
PDIA6	-0.18	42.6	-0.69	15.12	-0.26	33.64	-0.19	34.15	-0.2	40.2	-0.07	54.03	-0.04	47.78	-0.28	34.54	78.6015418	N
PDIK1L	-0.08	52.75	-0.14	42.88	-0.4	26.24	0.12	59.81	-0.09	48.54	-0.05	57.34	-0.17	38.94	-0.12	48.49	0.319200193	Y
PDILT	0.11	67.28	0.79	87.29	1.59	96.56	0.72	89.61	0.91	89.26	0.55	83.12	1.5	95.56	0.59	83.53	71.69356781	N
PDK1	-0.51	20.54	-0.31	31.93	-0.3	31.09	-0.38	23.02	-0.79	13.03	-0.49	22.26	-0.57	19.2	-0.31	32.45	19.30860034	N
PDK2	-0.29	34.06	-0.23	37.11	-0.43	25.1	-0.13	38.52	-0.39	28.47	-0.24	39.98	-0.15	40.41	-0.42	25.91	12.21392436	Y
PDK3	-0.06	54.08	0.13	62.74	0.07	54.59	0.42	80.35	0.22	68.16	-0.09	53.45	0.01	52.23	0.01	58.77	48.693086	Y
PDK4	-0.28	35.17	0.04	56.92	0.05	53.05	0.46	81.99	-0.01	54.49	-0.24	39.98	-0.4	26.25	-0.42	25.91	76.71043122	Y
PDLIM1	0.06	64.52	-0.32	31.69	-0.3	31.49	-0.2	33.83	0.06	58.83	0.34	76.81	-0.29	31.79	-0.12	47.02	54.36039509	N
PDLIM3	0.17	70.21	-0.53	20.7	-0.56	19.7	-0.55	16.35	-0.75	14.17	-0.17	44.12	-0.57	19.2	-0.31	32.45	20.38665382	N
PDLIM4	0.39	78.96	0.53	80.82	-0.1	42.76	0.28	73	0.51	80.13	0.68	86.13	0.25	68	0.14	67.69	26.45145748	N
PDLIM5	0.63	85.12	1.34	94.25	0.43	74.83	1.32	96.68	1.68	96.17	1.04	91.4	0.82	87.85	0.49	80.79	68.45338473	N
PDLIM7	-0.8	10.41	-0.66	16.02	-0.97	9.92	-0.34	25.16	-0.18	41.47	-0.53	19.25	-0.87	11.26	-0.97	7.81	16.6887497	N
PDP1	-0.48	22.15	-0.76	13.33	-1.24	6.53	-0.35	24.69	-0.79	13.03	-0.49	22.26	-0.45	23.52	-0.3	33.66	23.95808239	N
PDP2	-0.75	11.57	-0.93	9.55	-0.7	15.72	-0.67	12.73	-0.81	12.54	-0.74	11.96	-0.08	44.23	-0.69	14.27	50.07829439	N
PDPN	-0.19	41.28	0.02	55.61	-0.44	24.55	0.08	55.99	0.03	57.07	0.08	66.58	-0.27	32.44	-0.04	54.08	32.77523488	N
PDPR	0.17	69.98	0.87	88.89	1.17	93.01	0.21	67.57	0.67	84.01	-0.43	24.76	1.16	92.73	0.29	74.29	90.41797157	N
PDRG1	-0.1	49.88	-0.01	53.19	0.24	65.68	0.32	75.81	-0.16	43.78	-0.09	53.45	0.17	62.87	-0.05	53.64	32.49217056	Y
PDS5A	-0.75	11.57	-0.69	15.2	-1.43	5	-0.67	12.73	-1.09	7.4	-0.68	14.01	-0.33	29.47	-0.31	32.45	4.444712118	N
PDS5B	-1.11	5.45	-1.48	3.64	-1.85	2.74	-1.09	6.1	-1.9	1.97	-1.19	4.49	-0.66	16.55	-0.52	20.29	7.624668755	N
PDSS1	-0.26	36.41	0.06	58.53	0.67	83.91	0.19	66.09	0.3	72	-0.28	36.38	0.23	67.12	-0.33	31.71	81.18525656	Y
PDSS2	-0.49	21.37	-0.07	48.54	-0.26	33.14	0.19	66.37	0.28	70.75	-0.53	20.14	0.14	61	-0.39	27.64	90.23126957	N
PDXDC1	-0.06	54.1	1.38	94.63	0.82	87.6	0.7	89.13	-0.04	51.98	-0.15	45.78	1.01	91.08	1.36	94.1	64.96025054	N
PDXK	-0.51	20.54	-0.31	31.93	-0.3	31.09	-0.38	23.02	-0.45	25.49	-0.51	21.17	-0.43	24.51	-0.6	17.35	21.05516743	N
PDYN	-0.41	26.34	0.57	82.08	0.27	67.12	0.31	75.05	0.3	72	0.25	73.58	0.39	74.94	-0.15	44.42	86.82245242	N
PDZD11	0.08	65.66	0.1	60.96	0.19	62.02	0.3	74.46	0.11	62.04	0.08	66.94	0.16	62.02	0.1	65.33	#N/A	N
PDZD2	-1.49	2.7	0.25	69.67	0.9	89.2	0.78	90.9	-1.32	4.86	-0.96	6.9	-0.88	11.04	-2.81	0.5	53.43290773	N
PDZD3	0.43	80.07	-0.04	50.45	1.03	91.25	-0.73	11.38	0.01	55.15	-0.17	44.12	1.25	93.68	0.22	71.49	90.1409299	N
PDZD4	-0.55	18.49	-0.38	27.88	-1.01	9.4	-0.43	20.77	-0.45	25.49	-0.51	21.17	-0.29	31.79	-0.12	47.02	7.323536497	N
PDZD7	-0.69	13.26	-0.36	29.31	-0.68	16.08	0.27	71.85	-0.48	24	-0.53	20.14	-0.27	32.44	-0.43	24.92	29.70368586	N
PDZD8	-0.65	14.32	0.29	71.6	-1.01	9.46	-0.75	11.15	0.37	74.52	-0.43	24.94	-0.19	37.39	-0.47	22.92	51.05998555	N
PDZD9	-0.12	48.6	0.04	56.64	-0.38	27.38	0.36	77.52	0.26	69.87	0.46	81.29	-0.02	49.61	-0.18	43.38	21.9585642	Y
PDZK1IP1	-0.12	48.6	0.04	56.64	0.35	71.45	0.07	55.44	0.16	64.82	-0.13	49.82	0.02	53.09	-0.15	45.89	55.43242592	Y
PDZRN3	-1.17	4.78	-0.99	8.63	-1.15	7.57	-0.48	18.49	-0.37	29.12	-0.89	8.04	-1.44	4.5	-0.57	18.6	44.2363286	N
PDZRN4	-0.47	22.24	1.41	94.77	0.97	90.32	0.72	89.48	1.4	94.56	-0.49	21.48	0.63	83.19	-1.04	6.77	70.75403517	N
PEA15	0.02	61.78	0.01	54.63	0.02	51.26	0.24	69.83	0.01	55.83	0.02	62.73	0.06	55.51	0.04	61.25	12.37051313	Y
PEAK1	-0.59	16.38	-1.29	5	-0.68	16.27	-0.98	7.27	-2.08	1.53	-0.91	7.62	0.48	78.14	0.94	90.02	64.56877861	N
PEAR1	1.12	92.26	0.68	84.77	0.8	87.09	0.17	63.46	0.43	77.01	1.01	91.14	-0.51	21.18	-0.08	51.01	56.99831366	N
PEBP1	-0.05	55.48	0.35	73.97	0.11	57.36	0.15	62.8	0.22	68.16	0.44	80.53	0.5	79.25	0.39	77.87	26.95735967	Y
PEBP4	1.19	92.98	0.97	90.34	0.98	90.52	0.82	91.6	1.24	93.29	1.18	93.13	1.58	96.04	0.82	88.27	41.85738376	N
PECR	0.29	75.08	0.35	74.49	0.63	82.73	0.43	80.74	0.55	81.07	0.7	86.62	0.26	68.6	0.76	87.19	55.33004095	N
PEF1	-0.31	33.12	-0.27	34.32	0.12	57.55	-0.17	36.22	-0.01	54.49	-0.24	39.98	0.09	57.81	-0.42	25.91	65.20115635	N
PEG10	-0.16	44.62	-0.27	33.97	-0.21	36.15	0.02	50.88	-0.22	39.02	-0.13	49.82	0.02	53.09	-0.15	45.89	81.75138521	Y
PEG3	0.48	81.52	1.51	95.45	1.2	93.33	-0.48	18.72	0.57	81.75	-0.91	7.62	0.54	80.67	-0.37	27.93	81.51650205	N
PELI1	-0.31	33.12	-0.49	22.09	-0.76	14.12	-0.15	37.38	-0.52	21.96	-0.32	33.13	-0.45	23.52	-0.3	33.66	4.492893279	N
PELI2	-0.68	13.66	-0.6	18.06	-0.64	17.22	-0.02	47.36	-0.4	27.59	-0.19	42.29	-0.82	12.34	-0.69	14.27	14.87593351	N
PELI3	-0.42	25.38	0	53.73	-0.35	28.77	-0.28	28.4	0.03	57.07	-0.45	24.65	-0.25	34.57	-0.48	22.63	12.64755481	N
PELO	0.11	67.24	-0.25	35.75	-0.32	30.12	-0.15	37.38	-0.08	49.36	0.25	73.58	-0.21	36.73	0.09	64.59	30.91423753	N
PEMT	0.85	89.08	0.84	88.3	0.16	60.76	0.04	52.78	0.92	89.6	0.7	86.62	0.88	89	0.62	84.24	26.76463503	N
PENK	-0.17	43.88	0.31	72.6	-0.36	28.49	0.4	79.26	-0.41	27.28	-0.49	22.26	-0.04	47.78	-0.28	34.54	94.47121176	N
PEPD	-0.31	32.22	-0.15	42.28	1.27	94.02	-0.83	9.58	-0.79	12.77	-0.68	13.38	0.24	67.26	0.04	61.38	86.81040713	N
PER1	-1	6.69	-1.89	1.98	-0.21	36.35	-0.57	15.55	-0.38	28.48	-0.51	20.18	-2.92	0.71	-1.84	1.78	40.99614551	N
PER2	-0.84	9.51	-1.18	5.92	0.09	56.07	-2.11	1.29	-0.86	11.07	-0.38	27.46	-0.95	10.03	-1.99	1.4	38.58708745	N
PER3	0.04	63	1.35	94.36	1.27	94.04	0.55	84.99	1.7	96.23	0.38	77.63	-0.13	41.2	0.53	82	55.60105999	N
PERP	0.16	69.92	0.57	81.99	0.42	74.69	0.5	83.25	0.71	85.51	0.27	74.39	0.28	69.61	0.86	88.93	71.42857143	N
PES1	-0.2	40.99	-0.13	44.03	-0.16	39.5	-0.7	12.04	-0.19	40.45	0.23	72.22	0	50.96	-0.11	48.59	54.45073476	N
PET100	0.11	67.45	0.63	83.59	0.41	74.15	0.91	93.04	0.52	80.33	0.1	67.97	0.45	77.12	0.51	81.54	#N/A	N
PET112	-0.61	15.89	0.36	74.66	1.3	94.33	0.46	81.56	-0.77	13.46	-0.43	24.94	0.28	69.7	0.07	63.51	97.68128162	N
PET117	0.13	68.19	0.17	65.04	0.31	69.16	0.35	77.1	0.18	65.8	0.12	68.83	0.2	65.01	0.13	67.15	#N/A	N
PEX1	-1.29	3.85	-0.19	39.31	0.42	74.5	-1.48	3.18	-0.61	18.19	-0.81	9.98	-0.73	14.44	-0.9	9.15	65.47217538	N
PEX10	-0.38	27.54	-0.27	34.82	0.2	62.96	-0.43	20.97	-0.4	27.59	-0.19	42.29	-0.02	49.8	-0.19	41.14	57.12478921	N
PEX11A	-0.28	35.17	-0.45	24	0.2	62.79	-0.11	39.74	-0.52	21.96	-0.32	33.13	-0.36	27.99	-0.24	38.27	40.45410744	Y
PEX11B	-0.15	45.9	-0.27	33.97	0.41	74.23	0.04	52.37	-0.26	36.72	-0.15	47.68	-0.13	42.03	-0.08	50.87	92.83305228	Y
PEX11G	0.61	84.74	0.33	73.27	0.65	83.07	0.24	70.23	0.37	74.91	0.82	88.88	0.82	87.81	0.12	66.65	96.33220911	N
PEX12	0.14	68.71	0.53	80.73	0.34	71.05	0.46	81.99	0.65	83.79	-0.3	34.73	0.18	63.51	0.18	69.93	64.53866538	N
PEX13	0.04	62.41	0.37	75.29	0.2	63.38	0.35	76.89	0.27	70.41	0.23	72.83	0.49	78.77	-0.09	49.52	93.03782221	N
PEX14	0.06	64.2	-0.49	22.65	-0.3	31.15	-0.41	21.7	-0.71	15.09	-0.68	14.01	0.13	60.61	-0.25	36.37	20.68176343	N
PEX16	0.79	88.25	0.26	70.44	0.29	68.57	-0.03	47.18	0.13	63.39	0.68	86.13	0.3	70.34	-0.22	39.22	11.44904842	N
PEX19	-0.05	54.71	-0.25	35.99	-0.33	29.75	0.24	70.52	0.48	79.08	-0.41	27.43	-0.39	26.72	-0.18	41.72	34.43748494	N
PEX2	0.46	81.06	0.4	76.15	0.1	56.51	0.36	77.71	0.17	65.36	0.7	86.62	0.87	88.84	0	57.39	76.14430258	N
PEX26	0.21	71.78	1.13	92.16	0.69	84.3	0.83	91.9	1.57	95.54	0.34	76.81	0.48	78.39	-0.33	31.71	97.57889665	N
PEX3	-0.19	42.14	-0.07	48.12	-0.14	40.22	-0.01	48.28	-0.11	46.94	-0.3	34.73	0.17	62.87	0.33	75.84	30.67935437	Y
PEX5	-0.6	16.37	-0.84	11.36	-0.26	33.24	-0.68	12.43	-0.26	35.78	-0.87	8.82	-1.07	8.03	-0.56	18.71	51.36714045	N
PEX5L	-0.37	28.55	-0.98	8.8	-0.49	22.53	-0.41	21.7	-0.68	16.14	-0.66	14.79	-0.76	13.71	-0.43	24.92	17.91134666	N
PEX6	0.35	77.65	1.14	92.34	-0.49	22.59	0.7	89.13	0.41	76.28	0.42	79.19	0.75	86.32	0.89	89.44	61.44904842	N
PEX7	-0.13	47.18	0.01	54.95	0.16	60.65	0.34	76.64	0.06	58.83	-0.19	43.65	0.17	62.87	-0.05	53.64	98.78342568	Y
PF4	0.01	60.6	-0.01	52.85	-0.16	39.07	0.22	68.47	0.01	55.83	0.02	62.73	0.01	52.23	0.01	58.77	98.93399181	Y
PF4V1	-0.05	55.48	0.15	64.11	0.26	66.51	0.44	81.08	0.63	83.48	-0.07	55.41	-0.03	48.73	-0.02	56.24	23.69910865	Y
PFAS	0.09	65.76	-0.51	21.22	-0.64	17.16	-1.13	5.71	0.98	90.27	0.93	90.06	-0.59	18.44	0.09	64.7	66.98385931	N
PFDN1	0.01	60.6	-0.01	52.85	0.13	58.4	0.22	68.47	0.32	72.92	-0.02	59.11	0.11	58.99	0.07	63.34	16.52011563	Y
PFDN2	-0.05	55.48	-0.1	46.2	-0.18	38.07	0.15	62.8	-0.09	48.54	-0.05	57.34	0.01	52.23	0.01	58.77	19.94097808	Y
PFDN4	0.05	64.03	0.3	71.81	0.11	56.84	0.27	72.42	0.08	60.11	0.06	65.58	0.31	70.74	0.04	61.25	2.782462057	Y
PFDN5	-0.12	48.6	-0.21	38.28	-0.23	34.77	0.07	55.44	-0.19	41.39	-0.11	51.62	-0.13	42.03	-0.08	50.87	92.8089617	Y
PFDN6	0.07	64.84	0.32	72.94	0.15	59.34	0.29	73.48	0.42	76.98	0.04	64.23	0.11	58.99	0.07	63.34	0.80703445	Y
PFKFB1	-0.52	19.77	-0.58	18.59	0.53	79.02	-0.4	22.2	-0.96	9.36	-0.6	17.16	-0.49	22.27	-0.48	22.63	56.99229101	N
PFKFB2	-0.58	17.32	-0.67	15.76	-0.94	10.42	-0.18	35.31	-0.51	22.35	-0.55	18.99	-0.34	29.12	-0.54	19.74	25.60828716	N
PFKFB3	-0.88	8.72	-1.4	4.19	-1.64	3.59	-0.83	9.49	-1.05	8	-0.89	8.32	-1.15	7.08	-0.9	9.1	8.190797398	N
PFKFB4	-0.59	16.71	-0.93	9.47	-0.4	26.41	-0.48	18.72	-0.76	13.85	-0.47	23.43	-0.68	15.98	-0.6	17.35	79.85425199	N
PFKL	-1.21	4.41	-1.3	4.95	-1.12	7.81	-1.11	5.86	0.6	82.28	-0.47	22.39	-2.73	0.86	-1.7	2.18	17.14647073	N
PFKM	0.31	76.01	-0.46	23.57	-0.6	18.55	-0.58	15.39	-0.15	43.9	0.55	83.24	-0.23	35.31	-0.01	56.62	55.28185979	N
PFKP	-2.17	0.93	-2.63	0.79	-2.37	1.41	-2.03	1.46	-2.38	1.05	-1.97	1.06	-2.59	1.06	-2.4	0.81	12.18983377	N
